"Delivery_Contractor","Property_ID","Postcode_1","Participant_Age","EmployStatus","EmployType","HouseIncome","Date_Contact","Tenure","Tenure_Length","Social_Group","HP_Awareness","Reason_Sustainability","Sustainability_exp","Reason_Future","Future_exp","Reason_Upgrade","Upgrade_exp","Reason_Building","Building_exp","Reason_Financial","Financial_exp","Reason_Technology","Technology_exp","Reason_Research","Research_exp","Reason_Planned","Planned_exp","Reason_Replacement","Replacement_exp","Reason_Other","Other_exp","Date_Survey","Name_Survey","House_Type","House_Form","House_Env","House_Age","House_SAP","No_Adults","No_Child","No_Storeys","Total_Floor_Area","Habitable_Rooms","Bedrooms","Heated_rooms","Floor_Height","Wall_Type","Floor_Type","Roof_Type","Glazed_Type","Mains_Gas_Flag","Main_Fuel","Heat_Primary_Source","Heat_Secondary_Source","TS_Existing","TS_Existing_Size","No_Underfloor","Existing_Fires","Existing_Cooking","Outside_Space","Outside_Access","Elec_currentuse","Gas_currentuse","MCS_SHLoad","MCS_Hloss","MCS_SHAnnual","MCS_DHWAnnual","MCS_Immersion","Suit_ASHP","Suit_GSHP","Suit_HTASHP","Suit_Hybrid","HP_Recommend","HP_NoRec_R1","HP_NoRec_R2","Measures_Recommend","EstCost_System","EstCost_Ancillary","EstCost_Running","EstCost_Etariff","EstCost_Gtariff","Part_Install_Decision","Part_No_Reason1","Part_No_Reason2","Date_Installation","Name_Install","HP_Installed","HP_Brand","HP_Model","HP_Size_kW","HP_Refrigerant","GSHP_Space","TS_Type","TS_Water_Size","TS_PCM_Size","HP_Control_Zones","Measures_emitters_LT","Measures_emitters_Std","Measures_Fanassist","HP_Aesthetic","HP_Noise","Cooling","Cooling_Rooms","Fires_replaced","Cook_Replaced","Gas_disconnect","Measures_Loft","Measures_Windows","Measures_Doors","Measures_WI","Measures_DP","Cost_HP","Cost_TS","Cost_Install","Cost_Emitters","Cost_Cooling","Cost_LI","Cost_WI","Cost_Window","Cost_Door","Cost_DP","Install_time_HP","Install_time_measures"
"OVO","EOH3147","BN59","36","Working Part time","Professional","50,001+","2020-10-21T00:00:00.000Z","Owner-Occupied","3","AB",4,"Yes","null","Yes","As a family we would like to reduce our impact to the planet whilst also reducing costs","Yes","As a family we would like to reduce our impact to the planet whilst also reducing costs","No","null","Yes","As a family we would like to reduce our impact to the planet whilst also reducing costs","Yes","null","Yes","null","No","null","No","null","No","null","05/01/2021","null","House","null","null","Pre 1919","null","null","null","null","125","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","None - Installation not recommended","Technical_Size","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"OVO","EOH2420","TN34","74","Retired","Pensioner","Prefer not to say","2020-10-21T00:00:00.000Z","Owner-Occupied","null","DE",4,"Yes","null","Yes","We are also considering installing solar panels, and replacing our car with a pure EV.","Yes","We have several friends in the village from which we moved who are very happy with the air source heat pump they have installed.","No","We have already had the insulation in the loft increased, and flooring fitted for storage purposes. We have not yet taken any active steps to install PV, so no work is taking place at present.","Yes","Of course, but also keen to help with providing data for the project.","Yes","We do not intend to move again, so want our house to have all the modern advantages.","Yes","Yes, Im very happy to provide data for this project, in order to reduce the effects of climate change, if only in a small way.","Yes","Yes, we were about to investigate the new government scheme.","No","The heating system was installed in 2016, but gas is not a long-term solution.","No","null","09/03/2021","Retrofitworks","House","Detached","Suburban","1965-1980","null","2","0","null","78.84","5","3","5","2.35","Cavity_Insulated","Solid","Pitched","Double","Yes","Gas","Gas Boiler - Combi","Fire - Wood","None","null","0","0","0","No","No","null","null","null","null","null","null","null","null","null","null","null","None - Installation not recommended","Programme_TargetMet","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"OVO","EOH2063","OX14","42","Working Full time (>30hrs)","Professional","50,001+","2020-10-22T00:00:00.000Z","Owner-Occupied","4","AB",3,"Yes","null","Yes","The world needs to move to zero carbon emission energy sources. If we can help drive this change through being early adopters then its a worthwhile investment for us and for society in general.","Yes","Im looking into how to remove/reduce the need for gas in how I heat my home and know that heat pumps are one way of doing this. Based on what I know about them compared with other options, e.g. solar-thermal panels, heat pumps seem like a better but more expensive option for heating my home.","No","null","Yes","We cant afford to make the changes we want to make to our heating system so being able to get financial help to do so would really help us achieve our goal.","Yes","If theres a way technology can be used to increase the energy efficiency of our home and reduce our carbon footprint then we are certainly keen to explore the available options.","Yes","Demonstrating that the technology works is going to be an essential part of rolling low-carbon tech out at a large scale. Someone has to go first to help get this proof and its such an important thing to do that we would really like to get involved.","No","We cant afford a heat pump but definitely know the benefits they bring","No","null","No","null","19/03/2021","Retrofitworks","House","Semi-Detached","Suburban","1965-1980","null","2","0","2","97.4","5","3","5","2.4","Cavity_No_insulation","Solid","Pitched","Double","Yes","Gas","Gas Boiler - Combi","None","None","null","0","0","0","No","No","null","null","null","null","null","null","null","null","null","null","null","None - Installation not recommended","Programme_TargetMet","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"OVO","EOH1951","OX9","30","Working Full time (>30hrs)","Manager","50,001+","2020-10-22T00:00:00.000Z","Owner-Occupied","1","AB",4,"Yes","null","Yes","null","Yes","We know that if we didn�t do this we�d probably still need to install a pressurised water tank to help provide enough hot water.","Yes","We are in the middle of doing up the house so now is a perfect time! (We have already put in much bigger radiators in preparation)","Yes","This makes it feasible for us as otherwise we wouldn�t have the budget to do it now.","Yes","null","Yes","null","Yes","Yes, but we would be unlikely to be able to do it now budget wise without this trial.","No","null","No","null","14/12/2020","Retrofitworks","House","Semi-Detached","Urban","1945-1964","null","2","0","2","144.1","12","3","null","2.39","Cavity_Insulated","Mix","Pitched","Double","Yes","Gas","Gas Boiler - Combi","Fire - Wood","Water","120","0","0","1","No","No","null","null","null","null","null","null","null","null","null","null","null","None - Installation not recommended","Participant_Suitability","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"OVO","EOH0431","SP4","55","Working Full time (>30hrs)","Professional","Prefer not to say","2020-10-23T00:00:00.000Z","Owner-Occupied","9","C2",3,"Yes","null","Yes","null","Yes","null","No","null","Yes","null","Yes","null","Yes","null","No","null","Yes","null","No","null","24/02/2021","Retrofitworks","House","Detached","Rural","1945-1964","null","2","0","2","129","9","5","9","2.4","Cavity_Insulated","Solid","Pitched","Double","Yes","Gas","Gas Boiler - Standard","None","Water","150","0","0","0","No","No","null","null","null","null","null","null","null","null","null","null","null","None - Installation not recommended","Programme_TargetMet","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"OVO","EOH0872","SL4","29","Working Full time (>30hrs)","Supervisor","50,001+","2020-10-25T00:00:00.000Z","Owner-Occupied","6","C1",3,"Yes","null","Yes","Its not just about potentially reducing home running costs and CO2 emissions, but also being ahead of any future home heating regulations.","Yes","Our house seems better suited to a heat pump than other renewable technologies.","No","null","Yes","null","Yes","null","Yes","null","No","No immediate plans as the cost is currently too prohibitive - hopefully it will soon lower.","No","null","No","null","03/02/2021","Retrofitworks","House","End-Terrace","Suburban","2001+","null","3","0","2","85.74","4","3","4","2.4","Cavity_Insulated","Solid","Pitched","Double","Yes","Gas","Gas Boiler - Standard","None","Water","100","0","0","1","No","No","null","null","null","null","null","null","null","null","null","null","null","None - Installation not recommended","Programme_TargetMet","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"OVO","EOH0098","RH2","38","Working Full time (>30hrs)","Manager","50,001+","2020-10-26T00:00:00.000Z","Owner-Occupied","3","AB",3,"Yes","null","Yes","I am Director of New Energy Services at Energy UK - a trade body for the energy sector (of which OVO are members).\ni want to understand the types of changes that are going to be required from the wider public.","No","My current heating is adequate, its more about the trial and understanding how the transition to net zero will be made possible.","No","null","Yes","i wouldnt be doing the trial if i needed to pay","Yes","See above","Yes","See above","No","null","No","null","No","null","22/12/2020","null","House","null","null","1945-1964","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","No","Other","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"OVO","EOH2076","RG7","54","Working Full time (>30hrs)","Manager","50,001+","2020-10-27T00:00:00.000Z","Owner-Occupied","22","C1",4,"Yes","null","Yes","Natural gas heating is very last century, want a heating solution compatible with net zero.","Yes","A heat pump uses about 1/3 the energy of equivalent gas heating and as grid decarbonises will emit less and less carbon compared to a natural gas boiler.","No","null","Yes","Not convinced even with a variable tariff I can get a heat pump to pay for itself and certainly cant justify the capital outlay, but with capital cost covered difference in energy prices is less of an issue.","Yes","Have been an early adopter of smart heating controls, PV and EV. Keen to make the next step. Always a good talking point at parties.","Yes","Always fancied being a trial subject and keen to make heat pumps a success I  UK.","No","I investigated a heat pump but decided it was too expensive.","No","null","No","null","12/03/2021","Retrofitworks","House","Detached","Suburban","1965-1980","null","3","1","2","164","8","4","8","2.5","Cavity_Insulated","Solid","Pitched","Double","Yes","Gas","Gas Boiler - Standard","None","Water","150","0","0","0","No","No","null","null","null","null","null","null","null","null","null","null","null","None - Installation not recommended","Programme_TargetMet","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"OVO","EOH2877","RH12","48","Working Full time (>30hrs)","Professional","50,001+","2020-10-27T00:00:00.000Z","Owner-Occupied","null","AB",5,"Yes","null","Yes","Not just for any financial or resale impact, but to feel that the right thing has been done","Yes","The oil boiler is old and cant be very efficient, plus we are looking to go full solar PV with battery storage to have a net zero electricity consumption","Yes","We are looking to change to an ASHP with underfloor heating anyway, so if this can be done as part of a trial to show the benefits of such systems then so much the better to get more people on the road to conversion, particularly in rural areas where the cost benefits are greater vs off gas grid heating methods","No","Mixed feelings as I believe this will mean that the RHI cannot be claimed. Is it better to invest my own money upfront for a system to get paid back using the RHI, or will that be phased out leaving me with a long pay back time and therefore better to have the capital cost paid upfront?","Yes","Intrigued is not the word, I am already familiar with it having been an HVAC engineer in the past and now working in the electricity industry as a Fuel Cell Development Engineer. I already know that the technology is suitable for a home as long as the home is made suitable for it with adequate insulation and heat exchangers.","Yes","Keen to show the way for others","Yes","null","No","Its not in need as such as its functioning well, Id just like to have a more efficient and cleaner system and one that is going to work out cheaper in the long run.","No","null","03/11/2020","Retrofitworks","House","null","null","1965-1980","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","None - Installation not recommended","Programme_TargetMet","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"OVO","EOH2009","RG27","55","Working Part time","Professional","Prefer not to say","2020-10-27T00:00:00.000Z","Owner-Occupied","8","C1",5,"Yes","null","Yes","Its obvious that the electricity grid will get greener and greener, but kerosene has nowhere to go. I would not consider replacing my oil boiler for a more modern one, as I doubt the real-world benefits claimed for them, and doubt they would be as long-lasting as the old-skool type we have.","No","If by ""upgrade"" you mean that the existing system isnt performing well, then no. But if theres an opportunity to change the way heat is produced by using a heat pump, then Im interested�especially if connected with a scientific study where industry and government can learn more, for the benefit of other households.","No","No refurb planned","Yes","Especially if connected with a scientific study where industry and government can learn more, for the benefit of other households.","Yes","I have watched domestic heat pumps evolve over the past 10 or 20 years. I used to believe they werent ready for prime time in the UK climate, but technology seems to have moved on.","Yes","Especially if connected with a scientific study where industry and government can learn more, for the benefit of other households.","No","The existing system is performing well, and is relatively economical so no. But the house and radiator-emitters are now suitable for a constant lower-temperature flow (verified by running existing boiler at low loop temp).","No","The existing system is performing well, and is relatively economical so no.","No","null","25/03/2021","Retrofitworks","House","Detached","Rural","1919-1944","null","2","0","2","205.6","10","4","10","2.5","Cavity_Insulated","Solid","Pitched","Double","No","Oil","Oil Boiler","None","Water","170","0","0","0","No","No","null","null","null","null","null","null","null","null","null","null","null","None - Installation not recommended","Programme_TargetMet","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
