"Delivery_Contractor","Property_ID","Postcode_1","Participant_Age","EmployStatus","EmployType","HouseIncome","Date_Contact","Tenure","Tenure_Length","Social_Group","HP_Awareness","Reason_Sustainability","Sustainability_exp","Reason_Future","Future_exp","Reason_Upgrade","Upgrade_exp","Reason_Building","Building_exp","Reason_Financial","Financial_exp","Reason_Technology","Technology_exp","Reason_Research","Research_exp","Reason_Planned","Planned_exp","Reason_Replacement","Replacement_exp","Reason_Other","Other_exp","Date_Survey","Name_Survey","House_Type","House_Form","House_Env","House_Age","House_SAP","No_Adults","No_Child","No_Storeys","Total_Floor_Area","Habitable_Rooms","Bedrooms","Heated_rooms","Floor_Height","Wall_Type","Floor_Type","Roof_Type","Glazed_Type","Mains_Gas_Flag","Main_Fuel","Heat_Primary_Source","Heat_Secondary_Source","TS_Existing","TS_Existing_Size","No_Underfloor","Existing_Fires","Existing_Cooking","Outside_Space","Outside_Access","Elec_currentuse","Gas_currentuse","MCS_SHLoad","MCS_Hloss","MCS_SHAnnual","MCS_DHWAnnual","MCS_Immersion","Suit_ASHP","Suit_GSHP","Suit_HTASHP","Suit_Hybrid","HP_Recommend","HP_NoRec_R1","HP_NoRec_R2","Measures_Recommend","EstCost_System","EstCost_Ancillary","EstCost_Running","EstCost_Etariff","EstCost_Gtariff","Part_Install_Decision","Part_No_Reason1","Part_No_Reason2","Date_Installation","Name_Install","HP_Installed","HP_Brand","HP_Model","HP_Size_kW","HP_Refrigerant","GSHP_Space","TS_Type","TS_Water_Size","TS_PCM_Size","HP_Control_Zones","Measures_emitters_LT","Measures_emitters_Std","Measures_Fanassist","HP_Aesthetic","HP_Noise","Cooling","Cooling_Rooms","Fires_replaced","Cook_Replaced","Gas_disconnect","Measures_Loft","Measures_Windows","Measures_Doors","Measures_WI","Measures_DP","Cost_HP","Cost_TS","Cost_Install","Cost_Emitters","Cost_Cooling","Cost_LI","Cost_WI","Cost_Window","Cost_Door","Cost_DP","Install_time_HP","Install_time_measures"
"E.ON","EOH2437","NE3","51","Working Full time (>30hrs)","Professional","50,001+","2020-07-28T00:00:00.000Z","Owner-Occupied","16","AB",5,"YES","null","NO","null","NO","null","NO","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH0314","NE3","33","Working Full time (>30hrs)","Professional","40,001 - 50,000","2020-07-07T00:00:00.000Z","Owner-Occupied","5","AB",5,"YES","null","NO","null","NO","null","NO","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","17/07/2020","Pacifica","House","Semi-Detached","Urban","1900 - 1929","D","2","2","3","97","6","4","11","2.5","Cavity_No_insulation","Suspended","Pitched","Double","Yes","Gas","Gas Boiler - Combi","None","None","null","0","1","1","No","No","null","null","null","null","null","null","null","No","No","No","No","None - Installation not recommended","Practical_SpaceExternal","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH1350","NE3","null","Working Full time (>30hrs)","Professional","50,001+","2020-07-14T00:00:00.000Z","Owner-Occupied","null","AB",5,"YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","NO","null","NO","null","NO","null","NO","null","14/07/2020","Pacifica","House","Mid-Terrace","Urban","1930 - 1949","null","2","0","2","151","6","3","10","2.5","Cavity_No_insulation","Suspended","Pitched","Double","Yes","Gas","Gas Boiler - Combi","None","None","null","0","0","1","No","No","null","null","null","null","null","null","null","No","No","No","No","None - Installation not recommended","Practical_SpaceExternal","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH0698","NE12","null","Working Full time (>30hrs)","Professional","40,001 - 50,000","2020-07-14T00:00:00.000Z","Owner-Occupied","null","AB",3,"NO","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","NO","null","NO","null","14/07/2020","Pacifica","House","End-Terrace","Urban","1991 - 1995","null","2","0","3","89","4","3","9","2.3","Cavity_Insulated","Solid","Pitched","Double","Yes","Gas","Gas Boiler - Combi","None","None","null","0","0","1","No","No","null","null","null","null","null","null","null","null","null","null","null","None - Installation not recommended","Practical_SpaceExternal","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH3043","NE6","31","Working Full time (>30hrs)","Professional","40,001 - 50,000","2020-07-07T00:00:00.000Z","Owner-Occupied","2","AB",3,"YES","null","NO","null","NO","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","15/07/2020","Pacifica","House","End-Terrace","Urban","before 1900","E","2","0","2","85.5","4","2","8","2.6","Solid_No_insulation","Suspended","Pitched","Double","Yes","Gas","Gas Boiler - Combi","None","None","null","0","1","1","No","No","900","900","null","null","null","null","null","No","No","No","No","None - Installation not recommended","Practical_SpaceExternal","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH0852","NE3","43","Working Full time (>30hrs)","Professional","40,001 - 50,000","2020-07-07T00:00:00.000Z","Owner-Occupied","10","AB",4,"NO","null","NO","null","NO","null","NO","null","YES","null","YES","null","NO","null","NO","null","NO","null","NO","null","23/07/2020","E.ON","House","Semi-Detached","Urban","1930 - 1949","null","2","2","2","128","7","4","11","2.5","Cavity_Insulated","Suspended","Pitched","Double","Yes","Gas","Gas Boiler - Combi","None","None","null","0","1","0","Yes - Ground Loop","Yes","620","null","8.42","72","16869.5","5594","818","Yes","No","Yes","Yes","None - Installation not recommended","Practical_Reinforcement","null","None Required","12648","0","1074","14.3","3.8","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH0582","NE6","40","Working Part time","Professional","40,001 - 50,000","2020-07-07T00:00:00.000Z","Owner-Occupied","10","AB",1,"NO","null","NO","null","NO","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","23/07/2020","Pacifica","House","Mid-Terrace","Suburban","Before 1900","D","2","2","2","109","4","3","4","2.4","Cavity_Insulated","Suspended","Pitched","Double","Yes","Gas","Gas Boiler - Combi","None","None","null","0","0","1","Yes - Ground Loop","Yes","null","null","8.661","72.65","17351.5","4182","616","Yes","No","Yes","Yes","ASHP","null","null","None Required","16740.75","null","968","14.3","3.8","Yes","null","null","11/12/2020","Aaron Services","ASHP","Daikin","EDLQ014CAV3","14","R410A","null","Water_new","200","null","1","8","3","0","none","none","No","0","0","0","Yes","No","0","0","None","no","9047.38","1752.34","null","4163.46","0","0","0","0","0","0","2.5","null"
"E.ON","EOH2096","NE15","47","Working Full time (>30hrs)","Professional","30,001 - 40,000","2020-07-07T00:00:00.000Z","Owner-Occupied","2","AB",3,"NO","null","NO","null","NO","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","14/07/2020","Pacifica","House","Semi-Detached","Urban","1950 - 1966","E","2","0","2","92.6","5","3","9","2.4","Cavity_Insulated","Solid","Pitched","Double","Yes","Gas","Gas Boiler - Combi","None","None","null","0","0","1","No","No","360","360","null","null","null","null","null","No","No","No","No","None - Installation not recommended","Technical_Comfort","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH2566","NE22","51","Working Full time (>30hrs)","Skilled Manual Worker","30,001 - 40,000","2020-07-07T00:00:00.000Z","Owner-Occupied","null","C2",3,"YES","null","NO","null","NO","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH0212","NE4","68","Working Full time (>30hrs)","Professional","50,001+","2020-07-07T00:00:00.000Z","Owner-Occupied","14","AB",2,"NO","null","NO","null","NO","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","28/07/2020","E.ON","House","Semi-Detached","Suburban","1930 - 1949","D","3","0","3","109","7","4","13","2.5","Cavity_Insulated","Suspended","Pitched","Double","Yes","Gas","Gas Boiler - Combi","None","None","null","0","0","1","Yes - Ground Loop","No","5333","13000","null","null","null","null","null","No","No","No","No","None - Installation not recommended","Technical_Comfort","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH0672","NE3","58","Working Full time (>30hrs)","Professional","50,001+","2020-07-07T00:00:00.000Z","Owner-Occupied","10","AB",4,"YES","null","NO","null","NO","null","NO","null","YES","null","YES","null","NO","null","NO","null","NO","null","NO","null","22/07/2020","E.ON","House","Mid-Terrace","Urban","1900 - 1929","null","2","0","2","95.5","4","3","6","2.4","Cavity_No_insulation","Suspended","Pitched","Double","Yes","Gas","Gas Boiler - Combi","None","None","null","2","0","0","No","No","400","null","5.92","77.4","11876.2","2997","450","Yes","No","Yes","Yes","ASHP","null","null","None Required","11750","0","632","14.3","3.8","No","Other","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH2093","NE4","33","Working Full time (>30hrs)","Professional","40,001 - 50,000","2020-07-08T00:00:00.000Z","Owner-Occupied","4","AB",1,"YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","NO","null","NO","null","NO","null","NO","null","15/07/2020","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","None - Installation not recommended","other","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH0521","NE7","53","Working Full time (>30hrs)","Semi and unskilled manual worker","40,001 - 50,000","2020-07-08T00:00:00.000Z","Owner-Occupied","12","DE",1,"NO","null","NO","null","NO","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","28/08/2020","Phoenix","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","None - Installation not recommended","Practical_SpaceExternal","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH2049","NE5","61","Retired","Pensioner","30,001 - 40,000","2020-07-08T00:00:00.000Z","Owner-Occupied","34","DE",2,"YES","null","NO","null","YES","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","14/07/2020","Pacifica","House","Semi-Detached","Urban","1950 - 1966","null","2","2","2","78.23","7","3","9","2.2","Cavity_No_insulation","Solid","Pitched","Double","Yes","Gas","Gas Boiler - Combi","None","None","null","0","0","1","Yes - Ground Loop","No","null","null","7.527","96","18238","4122","607","Yes","No","Yes","Yes","ASHP","null","null","None Required","12270.81","null","980","14.3","3.8","Yes","null","null","09/12/2020","Aaron Services","ASHP","Daikin","EDLQ011CAV3","11","R410A","null","Water_new","200","null","1","7","3","1","none","none","No","0","0","0","Yes","No","0","0","None","no","5972.51","1752.34","null","1900","0","0","0","0","0","0","2.5","null"
"E.ON","EOH1501","NE4","57","Working Full time (>30hrs)","Semi and unskilled manual worker","25,001 - 30,000","2020-07-08T00:00:00.000Z","Owner-Occupied","25","DE",1,"YES","null","NO","null","YES","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH0194","NE6","45","Working Full time (>30hrs)","Professional","30,001 - 40,000","2020-07-16T00:00:00.000Z","Owner-Occupied","16","AB",1,"NO","null","NO","null","NO","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","19/08/2020","Phoenix","House","Semi-Detached","Urban","1930 - 1949","null","3","0","2","105","5","4","11","2.6","Cavity_Insulated","Suspended","Pitched","Double","Yes","Gas","Gas Boiler - Combi","Fire - Gas","None","null","0","1","0","No","No","5200","15600","null","null","null","null","null","No","No","No","No","None - Installation not recommended","Practical_Noise","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH3144","NE4","43","Working Part time","Professional","30,001 - 40,000","2020-10-07T00:00:00.000Z","Owner-Occupied","4","AB",5,"NO","null","NO","null","NO","null","NO","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","15/10/2020","Phoenix","House","Semi-Detached","Urban","1930 - 1949","C","1","2","3","154","7","5","16","2.4","Solid_No_insulation","Suspended","Pitched","Double","Yes","Gas","Gas Boiler - Combi","Fire - Gas","None","null","0","1","1","No","No","null","null","null","null","null","null","null","No","No","No","No","None - Installation not recommended","Technical_Size","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH1797","NE15","55","Working Full time (>30hrs)","Manager","50,001+","2020-07-13T00:00:00.000Z","Owner-Occupied","15","AB",3,"YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","NO","null","NO","null","NO","null","NO","null","07/08/2020","E.ON","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","None - Installation not recommended","other","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH1292","NE5","59","Working Full time (>30hrs)","Manager","40,001 - 50,000","2020-07-08T00:00:00.000Z","Owner-Occupied","21","AB",3,"NO","null","NO","null","NO","null","NO","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","16/07/2020","Pacifica","House","Detached","Urban","1983 - 1990","null","2","0","2","136","6","4","9","2.4","Cavity_Insulated","Solid","Pitched","Double","Yes","Gas","Gas Boiler - Combi","None","None","null","0","2","0","Yes - Ground Loop","Yes","420.87","null","5.23","70.6","8229","3566","0","Yes","No","Yes","Yes","Hybrid","null","null","None Required","11722.68","0","288","14.3","3.8","No","Other","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH1332","NE3","40","Working Full time (>30hrs)","Professional","30,001 - 40,000","2020-07-17T00:00:00.000Z","Owner-Occupied","4","AB",1,"NO","null","NO","null","NO","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH3050","NE5","46","Working Full time (>30hrs)","Skilled Manual Worker","50,001+","2020-07-08T00:00:00.000Z","Owner-Occupied","3","C2",3,"YES","null","NO","null","NO","null","NO","null","YES","null","YES","null","NO","null","NO","null","NO","null","NO","null","03/08/2020","E.ON","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","No","Practical_Noise","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH2518","NE13","57","Working Full time (>30hrs)","Professional","40,001 - 50,000","2020-07-17T00:00:00.000Z","Owner-Occupied","16","C1",1,"YES","null","NO","null","NO","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH1838","NE7","63","Working Full time (>30hrs)","Professional","25,001 - 30,000","2020-07-10T00:00:00.000Z","Owner-Occupied","19","C1",1,"NO","null","NO","null","YES","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","13/10/2020","Phoenix","House","Detached","Urban","1930 - 1949","null","2","0","2","200","6","4","13","2.7","Cavity_Insulated","Suspended","Pitched","Double","Yes","Gas","Gas Boiler - Standard","Fire - Gas","Water","150","0","2","1","No","No","2760","27600","15.91","79.55","31869","4254","0","Yes with additional measures","No","Yes with additional measures","Yes","Hybrid","null","null","None Required","12561","0","1473","14.3","3.8","No","Practical_DisruptionWorks","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH1604","NE3","38","Working Full time (>30hrs)","Manager","50,001+","2020-09-09T00:00:00.000Z","Owner-Occupied","0.9","AB",1,"YES","null","NO","null","NO","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","09/09/2020","Phoenix","House","Semi-Detached","Urban","1950 - 1966","null","2","1","2","101","5","3","12","2.4","Cavity_Insulated","Suspended","Pitched","Double","Yes","Gas","Gas Boiler - Combi","None","None","null","0","0","0","No","No","2312","13421","7.67","88.1","18587.5","4002","181","Yes","No","Yes","Yes","ASHP","null","null","None Required","13319.15","0","993","14.3","3.8","No","Practical_Aesthetics","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH3136","NE6","34","Working Full time (>30hrs)","Professional","50,001+","2020-07-09T00:00:00.000Z","Owner-Occupied","2","AB",4,"YES","null","NO","null","NO","null","NO","null","YES","null","YES","null","NO","null","NO","null","NO","null","NO","null","15/07/2020","Pacifica","House","Semi-Detached","Urban","1950 - 1966","D","2","0","1","85.9","4","3","7","2.6","Cavity_Insulated","Suspended","Pitched","Double","Yes","Gas","Gas Boiler - Combi","None","None","null","0","0","2","Yes - Ground Loop","Yes","390","695","null","null","null","null","null","No","No","No","No","None - Installation not recommended","Practical_Noise","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH1848","NE15","48","Working Full time (>30hrs)","Professional","50,001+","2020-07-09T00:00:00.000Z","Owner-Occupied","15","AB",2,"NO","null","NO","null","NO","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","23/07/2020","Pacifica","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","No","No","No","No","None - Installation not recommended","Practical_Noise","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH0433","NE6","49","Working Full time (>30hrs)","Professional","30,001 - 40,000","2020-07-09T00:00:00.000Z","Owner-Occupied","10","AB",4,"YES","null","NO","null","NO","null","NO","null","YES","null","YES","null","NO","null","NO","null","NO","null","NO","null","22/07/2020","E.ON","House","Semi-Detached","Suburban","1930 - 1949","null","2","2","3","103.38","5","4","9","2.4","Cavity_Insulated","Suspended","Pitched","Double","Yes","Gas","Gas Boiler - Combi","None","None","null","0","0","0","Yes - Ground Loop","No","523","247","null","null","null","null","null","No","No","No","No","None - Installation not recommended","Practical_Noise","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH1538","NE2","50","Working Full time (>30hrs)","Professional","50,001+","2020-07-22T00:00:00.000Z","Owner-Occupied","2","AB",5,"YES","null","NO","null","NO","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH0136","NE6","54","Working Full time (>30hrs)","Professional","30,001 - 40,000","2020-07-09T00:00:00.000Z","Owner-Occupied","16","AB",4,"NO","null","NO","null","NO","null","NO","null","YES","null","YES","null","NO","null","NO","null","NO","null","NO","null","24/07/2020","E.ON","House","Mid-Terrace","Suburban","1976 - 1982","null","1","0","2","53","3","2","6","2.3","Cavity_Insulated","Solid","Pitched","Double","Yes","Gas","Gas Boiler - Standard","None","Water","100","0","0","1","No","No","443","null","3.798","83.3","6995.4","1910","0","No","No","No","Yes","Hybrid","null","null","None Required","9863.25","null","262","14.3","3.8","Yes","null","null","09/12/2020","Phoenix","Hybrid","Daikin","EHY2KOMB28AA","4","R32","null","null","null","null","1","6","0","0","none","none","No","0","0","0","No","No","0","0","None","no","5912.2","null","null","2315.87","0","0","0","0","0","0","2","null"
"E.ON","EOH2374","NE15","54","Working Full time (>30hrs)","Manager","40,001 - 50,000","2020-07-16T00:00:00.000Z","Owner-Occupied","15","AB",2,"YES","null","NO","null","YES","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH2367","NE3","31","Working Full time (>30hrs)","Manager","50,001+","2020-07-17T00:00:00.000Z","Owner-Occupied","0.9","AB",5,"NO","null","NO","null","NO","null","NO","null","YES","null","YES","null","NO","null","NO","null","NO","null","NO","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH1657","NE4","59","Working Full time (>30hrs)","Manager","40,001 - 50,000","2020-07-09T00:00:00.000Z","Owner-Occupied","28","AB",3,"NO","null","NO","null","NO","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","24/07/2020","E.ON","House","Semi-Detached","Suburban","1930 - 1949","null","4","0","3","135","7","5","10","2.6","Cavity_Insulated","Suspended","Pitched","Double","Yes","Gas","Gas Boiler - Standard","None","Water","null","0","0","1","No","No","700","750","null","null","null","null","null","No","No","No","No","None - Installation not recommended","Technical_Size","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH1726","NE5","54","Working Full time (>30hrs)","Professional","50,001+","2020-07-09T00:00:00.000Z","Owner-Occupied","24","AB",1,"YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","NO","null","NO","null","NO","null","NO","null","27/07/2020","E.ON","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","None - Installation not recommended","Practical_SpaceExternal","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH1462","NE6","60","Working Full time (>30hrs)","Professional","Prefer not to say","2020-07-10T00:00:00.000Z","Owner-Occupied","23","AB",5,"YES","null","NO","null","NO","null","NO","null","YES","null","YES","null","NO","null","NO","null","NO","null","NO","null","23/07/2020","E.ON","House","Mid-Terrace","Urban","before 1900","null","1","0","2","108","5","3","9","2.9","Solid_No_insulation","Suspended","Pitched","Single","Yes","Gas","Gas Boiler - Combi","Fire - Gas","None","null","0","2","1","Yes - Ground Loop","No","700","700","null","null","null","null","null","No","No","No","No","None - Installation not recommended","Technical_Size","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"E.ON","EOH1639","NE3","35","Working Full time (>30hrs)","Manager","50,001+","2020-07-10T00:00:00.000Z","Owner-Occupied","4","AB",1,"YES","null","NO","null","YES","null","NO","null","YES","null","NO","null","NO","null","NO","null","NO","null","NO","null","24/07/2020","E.ON","House","Semi-Detached","Urban","1900 - 1929","E","2","1","2","115","6","3","10","2.6","Cavity_Insulated","Suspended","Pitched","Double","Yes","Gas","Gas Boiler - Combi","None","None","null","0","0","1","Yes - Ground Loop","Yes","650","760","null","null","null","null","null","No","No","No","No","None - Installation not recommended","Technical_Comfort","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
